artist_id,artist_name,genres,popularity,followers
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105392
17rSwcIT9qu1OybU1lReJB,Ferrante & Teicher,exotica,30,25223
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,"vocal jazz,jazz,swing music,jazz blues,big band,christmas",66,2722042
2Ev0e8GUIX4u7d9etNLTXg,Jim Reeves,"classic country,christian country",53,489044
3dRfiJ2650SZu6GbydcHNb,John Williams,soundtrack,69,1600831
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,,91,84869436
1AwO9pWEBSBoWdEZu28XDC,Eartha Kitt,christmas,48,212464
26dSoYclwsYLMAKD3tpOr4,Britney Spears,pop,80,17692615
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,christmas,78,11869360
5WUlDfRSoLAfcVSX1WnrxN,Sia,,82,30486649
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,country,65,3202232
5lpH0xAS4fVfLkACg9DAuM,Wham!,christmas,66,3138005
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,90,107235479
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,,75,7757831
0HU0U9kdXEHZVxUNbuQe8S,Donny Hathaway,"soul,classic soul",55,657177
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,,76,7733459
7jFUYMpMUBDL4JQtMZ5ilc,Sung Si Kyung,k-ballad,50,395930
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",67,2533584
0MHgLfmQdutffmvWe5XBTN,Burl Ives,christmas,47,114929
2iE18Oxc8YSumAU232n4rW,The Jackson 5,"motown,christmas",63,1870856
4sj6D0zlMOl25nprDJBiU9,Andy Williams,"christmas,adult standards",58,589242
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,christmas,58,462917
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,"christmas,villancicos",53,72907
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,"christmas,adult standards,big band,swing music",66,1946843
21LGsW7bziR4Ledx7WZ1Wf,Johnny Mathis,christmas,52,448366
