artist_id,artist_name,genres,popularity,followers
2Ouy64LMwX0NN3yekUfTfo,New York Jazz Trio,christmas,37,8598
7gXUrN8vgmVhKVCkw9pavV,Vince Guaraldi,christmas,59,86732
6zkX5fhrSD4tdVOmimR9wB,Oscar Peterson,"jazz,cool jazz,bebop",55,316541
7AbWCUgC8aFlUYWSuiaQhK,The Eddie Higgins Trio,,31,13451
7qYYtUCPSVXspwRs4wiQ9R,Eltingvilles,,38,283
4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,christmas,57,178664
0cmSXx965Hnm6fP42oW6vY,Origami Angel,"midwest emo,math rock,indie punk,emo",49,145958
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,66,3161362
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,"anime,j-pop,j-rock",72,4776799
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,"j-pop,anime,j-rock",78,6282206
6jgrgDBt1SbtNbc25sLaTH,Busker Busker,k-ballad,41,114120
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,,90,118674623
2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,,45,247046
6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,k-ballad,57,783937
5zVu34ozw0BzXIcNHqkO0u,Liana Flores,,64,682809
6aLdhHUqgdKE86xbtNmY8g,Crush,"k-rap,k-pop,k-ballad",61,1349351
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105586
2SY6OktZyMLdOnscX3DCyS,JANNABI,"k-ballad,k-rock",54,783503
2WJj57pxupP1MJCqbDNET4,Fishing in Japan,,22,9001
5z8B2oTjiZbpbMB6rAfPGl,Heo Hoy Kyung,k-ballad,44,80512
75OSuJw6r1LCdYgmTt0gHs,Micah Edwards,retro soul,45,51252
0MBNzfGHTiPYag4DupDXUj,Sarah Kang,,53,193363
0pfVDTchnVMBTzGylIuJNa,Lee Juck,k-ballad,39,115063
