played_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,track_uri
2025-10-19T17:07:39.114Z,7rdPF4veJD73QRRvFcR0sK,Breeze Blowing on the Hilltop,2ItyqN4i9lNz49g421p0Cl,Yuji Nomi,0yOhYn348rz2j3mUne0fpH,Whisper of the Heart Soundtrack,1995,137706,37,False,spotify:track:7rdPF4veJD73QRRvFcR0sK
2025-10-19T17:05:10.868Z,26W3vc21aHLaHF90gbsiq1,Day Of The River,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,766a5fKJYFy9ii4Kz2bQy9,Spirited Away Soundtrack,2001-07-18,193000,55,False,spotify:track:26W3vc21aHLaHF90gbsiq1
2025-10-19T17:01:56.857Z,4SBHuF59wYA32i3O1Yfv1L,I Love Penny Sue,1v1sbhRjpHfjqdBpSiwCvc,Daniel May,4T6ytV8yCJ9UJ8CsWjetq0,Midnight in Paris (Music from the Motion Picture),2011-12-09,197906,34,False,spotify:track:4SBHuF59wYA32i3O1Yfv1L
2025-10-19T16:58:38.251Z,11Jbb56m2JXlZmcDim0FLR,Beautiful Morning,0UG5sCzTJoQXp7RvjoypkI,Celestial Conscience,4NLqrO3jBDx55fiEkPY6ES,Guitar for Reels,2022-02-03,79564,14,False,spotify:track:11Jbb56m2JXlZmcDim0FLR
2025-10-19T16:57:18.258Z,5zWApWHO6FqSqfC0LMEdht,The Two on the Boat,2FdBheCRIgBMhygsbki1mO,Takatsugu Muramatsu,00odo2OS2nQ1j15oeG53g2,When Marnie Was There Soundtrack Music Collection,2014-07-16,106706,37,False,spotify:track:5zWApWHO6FqSqfC0LMEdht
2025-10-19T16:55:35.235Z,3dIQDP3cylTLG2eDpuGSMg,On a Sunny Day,3yGeOkXjCDmbjPim19SBmP,Shigeru Nagata,6nuyCZwPP0gdYpdoNCfhVU,The Ocean Waves (Original Soundtrack),1993,218066,33,False,spotify:track:3dIQDP3cylTLG2eDpuGSMg
2025-10-19T16:51:52.524Z,2rhAvn7oX3nK3pR3c8APik,Two Cents Party,3q1blSi57degdJeXeay4SM,Erikson Jayanto,1rTHwoftDwfxpM4ePG5SQq,Two Cents Party,2020-12-04,180000,40,False,spotify:track:2rhAvn7oX3nK3pR3c8APik
2025-10-19T16:48:51.982Z,1APAESKYqHJnAS1hK5VVYR,Safflower Picking in Rain,2B5mYImShgfHqzyoroFr0w,Katsu Hoshi,3TSh2VevYJEb5wfrnyHMVM,Only Yesterday Original Soundtrack,1991,97800,40,False,spotify:track:1APAESKYqHJnAS1hK5VVYR
2025-10-19T16:47:13.265Z,3uQ8Lxam1pAGnUnXPSb7A9,淡水海邊,2elBjNSdBE2Y3f0j1mjrql,Jay Chou,7eoWv4CgghZ0gvWjjdye98,不能說的秘密電影原聲帶,2007-08-13,65706,34,False,spotify:track:3uQ8Lxam1pAGnUnXPSb7A9
2025-10-19T16:46:07.467Z,76cUb9qc2hTwV5MV5xpvnK,Reminiscence,0pWDwAU3grBQc9GAIQOP2N,Satoshi Takebe,3rc7HXbkC0kSZIQeQBoqXZ,From Up On Poppy Hill Soundtrack,2011-07-13,122600,47,False,spotify:track:76cUb9qc2hTwV5MV5xpvnK
