artist_id,artist_name,genres,popularity,followers
7wFDo161xYdeaiLz3KIHoM,Gallant,alternative r&b,45,318864
0ECegKslGWO6zz3XzTyIwQ,1986 OMEGA TRIBE,"city pop,kayokyoku,j-pop",42,64121
3WwGRA2o4Ux1RRMYaYDh7N,Mariya Takeuchi,"city pop,kayokyoku,j-pop",57,1035585
7bG2PIfT22HGxisl6LAohx,S. Kiyotaka & Omega Tribe,"city pop,kayokyoku,j-pop",45,82523
0xGtOrmB2hnrNRLG3vhpSo,Anri,"city pop,j-pop,kayokyoku",59,529263
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,,89,75298466
7rGbODPTIVjzn3CTR6RCzE,Junko Ohashi,"city pop,kayokyoku,j-pop",49,143590
6xeFne1rkxMhKSW3ipvkdV,Toploader,,60,120792
7tZ4vIF5bfR7cI1VOVPvpy,Junichi Inagaki,"city pop,kayokyoku,j-pop,enka",43,148741
1TnNKsMdzxwBiHkde10tPX,Yurie Kokubu,city pop,41,34045
22oiFjlZPKJ1XphV2et1u1,Naul,k-ballad,40,124104
3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,"jazz,cool jazz,vocal jazz",64,1329289
1YzCsTRb22dQkh9lghPIrp,Billie Holiday,"jazz,vocal jazz,jazz blues,big band",63,2068760
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",68,2534649
03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"french jazz,vocal jazz,jazz,bossa nova,smooth jazz",58,305027
3UHyuBA5qay3xcxFr3Z1Y9,Rachael & Vilray,vocal jazz,43,44383
3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,musicals,73,360841
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,christmas,72,6886954
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,"vocal jazz,jazz,swing music,jazz blues,big band,christmas",66,2722951
7iHXhGerkdpvUAIb67GCSj,Diana Panton,"vocal jazz,french jazz",36,21407
4X8QFzZ1HqwPfwDfyjtwXC,Mel Tormé,"vocal jazz,adult standards,christmas,big band",46,196202
0FMucZsEnCxs5pqBjHjIc8,Stan Getz,"bossa nova,jazz,brazilian jazz,cool jazz,latin jazz",64,534535
3OpnoUqoRIHWbsFs4Nw0NQ,Nat King Cole Trio,"vocal jazz,christmas",48,196526
5FxVAiCRSETyMMPV8MDaHY,Lorez Alexandria,"vocal jazz,jazz",40,15393
5bWApG9Vdshhd1J50UnNf6,Blossom Dearie,"french jazz,vocal jazz,jazz",50,162590
7nXyULtoL8k7wP9l6kg8Ef,Madeleine Peyroux,"french jazz,vocal jazz,jazz",58,471595
2Kx7MNY7cI1ENniW7vT30N,Norah Jones,,71,3363244
