artist_id,artist_name,genres,popularity,followers
0k1E81LhLXQSaKSRQKkUrx,Asteria,,24,1380
2elBjNSdBE2Y3f0j1mjrql,Jay Chou,"mandopop,c-pop,taiwanese pop,gufeng,cantopop,chinese r&b",73,7582977
1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,"j-pop,anime",63,2235415
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,,80,2286879
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,"j-pop,anime,j-rock",78,6305251
2hRQKC0gqlZGPrmUKbcchR,SHINee,k-pop,60,3305886
6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,j-pop,74,4583884
6zkX5fhrSD4tdVOmimR9wB,Oscar Peterson,"jazz,cool jazz,bebop",55,317017
7AbWCUgC8aFlUYWSuiaQhK,The Eddie Higgins Trio,,32,13484
7qYYtUCPSVXspwRs4wiQ9R,Eltingvilles,,38,284
4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,christmas,59,179206
2Ouy64LMwX0NN3yekUfTfo,New York Jazz Trio,christmas,38,8604
7gXUrN8vgmVhKVCkw9pavV,Vince Guaraldi,christmas,60,87510
