played_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,track_uri
2025-10-20T17:17:44.748Z,5QnCtH7euld6R68UwcWrte,(I Love You) For Sentimental Reasons,7v4imS0moSyGdXyLgVTIV7,Nat King Cole,3NoP1ifIejWkGSDsO9T2xH,The Nat King Cole Story,1961-09-25,184466,64,False,spotify:track:5QnCtH7euld6R68UwcWrte
2025-10-20T17:14:42.887Z,0F845nujLVqCb0XMZCh5Pc,I Fall In Love Too Easily,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,5JJ779nrbHx0KB2lBrMMa4,Chet Baker Sings,1956,201440,68,False,spotify:track:0F845nujLVqCb0XMZCh5Pc
2025-10-20T17:11:18.439Z,35gOocYNoSlvtWEU67UuHI,It Might As Well Be Spring,03EYBMnqSchCMp5D9qmFXi,Stacey Kent,7CvouoNWqjGnVyYG8QlLVJ,Hushabye Mountain,2011-05-30,278040,4,False,spotify:track:35gOocYNoSlvtWEU67UuHI
2025-10-20T17:06:39.325Z,52Bvu2IqOZuq77KRkDcLzS,Do Friends Fall in Love?,3UHyuBA5qay3xcxFr3Z1Y9,Rachael & Vilray,7aE5YTsCLl2kMhlZM2FtKm,Rachael & Vilray,2019-10-04,175071,46,False,spotify:track:52Bvu2IqOZuq77KRkDcLzS
2025-10-20T17:03:44.186Z,1YlxMqTgJisGd0eH88rfId,Once Upon A Summertime,5bWApG9Vdshhd1J50UnNf6,Blossom Dearie,5pJeMvBDbvBnmDJsd0Up9n,Once Upon A Summertime,1959-04-01,167200,32,False,spotify:track:1YlxMqTgJisGd0eH88rfId
2025-10-20T17:00:56.619Z,56NkrmZEeUbs7DvlnVq1Sb,My Favorite Things,3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,7joGy5WxBuQpf5XLCFxkC1,Simply Christmas (Deluxe Edition),2017-10-27,350409,27,False,spotify:track:56NkrmZEeUbs7DvlnVq1Sb
2025-10-20T16:55:04.886Z,1WWVlkmJSdLBSiqF2m8Ex2,(Getting Some) Fun out of Life,7nXyULtoL8k7wP9l6kg8Ef,Madeleine Peyroux,4DE9KRgAibQ5ZnmDtuGJNB,Dreamland,1996-09-27,192173,60,False,spotify:track:1WWVlkmJSdLBSiqF2m8Ex2
2025-10-20T16:51:52.599Z,2vfINZ5Xnf1HggzoQKgqps,Dream a Little Dream of Me,1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,6SFiqF4iSwb920rjgFWAI3,Special Delivery,2010-02-05,188733,50,False,spotify:track:2vfINZ5Xnf1HggzoQKgqps
2025-10-20T16:48:43.308Z,33jt3kYWjQzqn3xyYQ5ZEh,Cheek To Cheek,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,2uqlkJu6vckJahCsp6Hfcn,The Complete Ella And Louis On Verve,1997-05-20,354533,62,False,spotify:track:33jt3kYWjQzqn3xyYQ5ZEh
2025-10-20T16:42:49.631Z,79fXdfpOPGaXO1gfdq2onl,All of Me,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,3MXpFQDq1cTE4WfGZDAsY4,Billie Holiday Love Songs,1996-01-30,181826,44,False,spotify:track:79fXdfpOPGaXO1gfdq2onl
2025-10-20T16:39:46.170Z,4UQskMoh7tUyMeA14HQcS0,Happy Talk,7iHXhGerkdpvUAIb67GCSj,Diana Panton,5nz4EKtnuOubCvkgdjmVnd,A Cheerful Little Earful,2019-10-18,238666,23,False,spotify:track:4UQskMoh7tUyMeA14HQcS0
2025-10-20T16:35:47.291Z,3RbkATWswzKeNDJUZZL2jL,Sweet Lorraine,7v4imS0moSyGdXyLgVTIV7,Nat King Cole,3NoP1ifIejWkGSDsO9T2xH,The Nat King Cole Story,1961-09-25,202200,50,False,spotify:track:3RbkATWswzKeNDJUZZL2jL
2025-10-20T16:32:24.946Z,3YNPJrSGsLw0MmJ0IEFySz,I've Drawn Your Face,3UHyuBA5qay3xcxFr3Z1Y9,Rachael & Vilray,0j551HTufOYW6EJ9CQwNrD,I Love A Love Song!,2023-01-13,221832,47,False,spotify:track:3YNPJrSGsLw0MmJ0IEFySz
2025-10-20T16:28:41.761Z,2m2neHY8NvToPYO1H0XCkq,"Quando, Quando, Quando (with Nelly Furtado)",1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,2koUTBXkwUt2uJYv0uezHx,It's Time,2005-02-07,284373,48,False,spotify:track:2m2neHY8NvToPYO1H0XCkq
2025-10-20T16:23:57.829Z,2RnJD2mTBxqvHcqmXk1n9c,Let's Fall In Love,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,6SESAIqP8sQTVp0ZRVcdOq,Sings Sweet Songs For Swingers,1958-01-01,184720,50,False,spotify:track:2RnJD2mTBxqvHcqmXk1n9c
2025-10-20T16:20:51.898Z,0RwwHF4WEvwT8l8yLoK6ZD,You're A Heavenly Thing,4X8QFzZ1HqwPfwDfyjtwXC,Mel Tormé,2F9VpcPnK3tBb1IMuyc3b0,Great Gentlemen Of Song / Spotlight On Mel Torme,1995-01-01,151000,25,False,spotify:track:0RwwHF4WEvwT8l8yLoK6ZD
