artist_id,artist_name,genres,popularity,followers
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,,91,84853563
1AwO9pWEBSBoWdEZu28XDC,Eartha Kitt,christmas,48,212397
26dSoYclwsYLMAKD3tpOr4,Britney Spears,pop,80,17685500
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,christmas,78,11865167
5WUlDfRSoLAfcVSX1WnrxN,Sia,,82,30480508
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,country,65,3202139
5lpH0xAS4fVfLkACg9DAuM,Wham!,christmas,66,3137058
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,90,107218067
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,,75,7757479
0HU0U9kdXEHZVxUNbuQe8S,Donny Hathaway,"soul,classic soul",55,656975
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,,76,7731574
7jFUYMpMUBDL4JQtMZ5ilc,Sung Si Kyung,k-ballad,50,395785
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",67,2532931
0MHgLfmQdutffmvWe5XBTN,Burl Ives,christmas,47,114899
2iE18Oxc8YSumAU232n4rW,The Jackson 5,"motown,christmas",63,1870226
4sj6D0zlMOl25nprDJBiU9,Andy Williams,"christmas,adult standards",58,589141
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,christmas,58,462828
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,"christmas,villancicos",52,72880
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,"christmas,adult standards,big band,swing music",66,1946328
21LGsW7bziR4Ledx7WZ1Wf,Johnny Mathis,christmas,52,448302
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105293
17rSwcIT9qu1OybU1lReJB,Ferrante & Teicher,exotica,30,25220
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,"vocal jazz,jazz,swing music,jazz blues,big band,christmas",66,2721525
2Ev0e8GUIX4u7d9etNLTXg,Jim Reeves,"classic country,christian country",53,488968
3dRfiJ2650SZu6GbydcHNb,John Williams,soundtrack,69,1600402
