played_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,track_uri
2025-10-21T14:26:19.216Z,77fcHU89KRyKKRDskWKOoY,On The Sunny Side Of The Street - 1993 Digital Remaster,3OpnoUqoRIHWbsFs4Nw0NQ,Nat King Cole Trio,5POBnbzzN7xKk3esI3NnF9,The Nat King Cole Trio - The Complete Capitol Transcription Sessions,2005-01-01,180346,37,False,spotify:track:77fcHU89KRyKKRDskWKOoY
2025-10-21T14:23:21.025Z,5CY039j1Mt4fGfBzfJqBNP,A Tisket A Tasket,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,1y5KGkUKO0NG32MhIIagCA,"Love, Ella",2007-05-03,157240,26,False,spotify:track:5CY039j1Mt4fGfBzfJqBNP
2025-10-21T14:20:40.788Z,7hZ5vjaWl6KxvTXo1aMorp,Back in Your Own Back Yard,7nXyULtoL8k7wP9l6kg8Ef,Madeleine Peyroux,2JEelOrzOn2cJT9O5CSA1S,Got You on My Mind,2004,152531,53,False,spotify:track:7hZ5vjaWl6KxvTXo1aMorp
2025-10-21T14:18:07.499Z,3pfbQmD5xGH9Tcc7GqGfSL,But Not For Me - Vocal Version,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,5JJ779nrbHx0KB2lBrMMa4,Chet Baker Sings,1956,184466,62,False,spotify:track:3pfbQmD5xGH9Tcc7GqGfSL
2025-10-21T14:15:02.623Z,1zNXF2svmdlNxfS5XeNUgr,Don't Know Why,2Kx7MNY7cI1ENniW7vT30N,Norah Jones,3ArSFkv4OQOosOvYTrZNIl,Come Away With Me (Super Deluxe Edition),2002-02-26,186251,77,False,spotify:track:1zNXF2svmdlNxfS5XeNUgr
2025-10-21T14:11:55.923Z,2dLM74n8z8UgW9NQhSbhm1,'Deed I Do,5bWApG9Vdshhd1J50UnNf6,Blossom Dearie,6Qmn8cqmmJIjuwjXiUF4n6,Blossom Dearie (Expanded Edition),1957-04-01,133666,53,False,spotify:track:2dLM74n8z8UgW9NQhSbhm1
2025-10-21T14:09:41.741Z,1oDCK7PW72XEZ1pE5rh87A,Smile,7v4imS0moSyGdXyLgVTIV7,Nat King Cole,3NoP1ifIejWkGSDsO9T2xH,The Nat King Cole Story,1961-09-25,173266,60,False,spotify:track:1oDCK7PW72XEZ1pE5rh87A
2025-10-21T14:06:56.419Z,0vGS7srr6FGqgFElP3g1yQ,Go on Shining (feat. Jon Batiste),3UHyuBA5qay3xcxFr3Z1Y9,Rachael & Vilray,7aE5YTsCLl2kMhlZM2FtKm,Rachael & Vilray,2019-10-04,223891,39,False,spotify:track:0vGS7srr6FGqgFElP3g1yQ
2025-10-21T13:42:12.318Z,5t5S4nyn6OWZRpSo260sjo,For Sentimental Reasons,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,3xseO3iLY7v7dL7VP6jpsH,The War Years (1941-1947),1994-09-13,188293,34,False,spotify:track:5t5S4nyn6OWZRpSo260sjo
2025-10-21T13:39:03.601Z,1UH4viviUjZnS9aWgPGrk0,La vie en rose - Single Version,19eLuQmk9aCobbVDHc6eek,Louis Armstrong,1z3T9KhIbOb7k2sBVCsn6p,The Best Of The Decca Years Volume One: The Singer,1989-01-01,204400,56,False,spotify:track:1UH4viviUjZnS9aWgPGrk0
2025-10-21T13:34:46.036Z,6adxpmTeFb1PWvAn3lXPfo,Destination Moon,7iHXhGerkdpvUAIb67GCSj,Diana Panton,3ifjWol2viGSE4FfV3sYv2,If The Moon Turns Green,2012-01-01,202666,30,False,spotify:track:6adxpmTeFb1PWvAn3lXPfo
2025-10-21T13:31:23.588Z,1gF8EnsbcFBaYsNig7LhtN,I Wish You Love,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,4FwmVb94KamiFQNi2uslNM,Baby Breeze (Expanded Edition),1965-01-01,192906,43,False,spotify:track:1gF8EnsbcFBaYsNig7LhtN
