artist_id,artist_name,genres,popularity,followers
3OpnoUqoRIHWbsFs4Nw0NQ,Nat King Cole Trio,"vocal jazz,christmas",48,196523
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,"vocal jazz,jazz,swing music,jazz blues,big band,christmas",66,2722541
7nXyULtoL8k7wP9l6kg8Ef,Madeleine Peyroux,"french jazz,vocal jazz,jazz",58,471551
3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,"jazz,cool jazz,vocal jazz",64,1328812
2Kx7MNY7cI1ENniW7vT30N,Norah Jones,,71,3362873
5bWApG9Vdshhd1J50UnNf6,Blossom Dearie,"french jazz,vocal jazz,jazz",50,162570
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",68,2534167
3UHyuBA5qay3xcxFr3Z1Y9,Rachael & Vilray,vocal jazz,43,44345
19eLuQmk9aCobbVDHc6eek,Louis Armstrong,"jazz,swing music,big band,vocal jazz,jazz blues",68,3226274
7iHXhGerkdpvUAIb67GCSj,Diana Panton,"vocal jazz,french jazz",36,21403
1YzCsTRb22dQkh9lghPIrp,Billie Holiday,"jazz,vocal jazz,jazz blues,big band",63,2068451
03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"french jazz,vocal jazz,jazz,bossa nova,smooth jazz",58,304981
3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,musicals,73,360441
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,christmas,72,6886654
4X8QFzZ1HqwPfwDfyjtwXC,Mel Tormé,"vocal jazz,adult standards,christmas,big band",46,196178
0FMucZsEnCxs5pqBjHjIc8,Stan Getz,"bossa nova,jazz,brazilian jazz,cool jazz,latin jazz",64,534363
7n2Ycct7Beij7Dj7meI4X0,TWICE,k-pop,82,23246247
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,,80,2152174
0qDZ7wym9Vg843lDKkzmoR,Marcelo Zarvos,,60,24460
2yNNYQBChuox9A5Ka93BIn,HUNTR/X,k-pop,87,3372423
0RM1II8zWIoFb32PXO1RaR,Jokers,,57,7616
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105410
17rSwcIT9qu1OybU1lReJB,Ferrante & Teicher,exotica,30,25223
2Ev0e8GUIX4u7d9etNLTXg,Jim Reeves,"classic country,christian country",53,489120
3dRfiJ2650SZu6GbydcHNb,John Williams,soundtrack,69,1601201
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,,91,84886363
