artist_id,artist_name,genres,popularity,followers
7AbWCUgC8aFlUYWSuiaQhK,The Eddie Higgins Trio,,32,13469
6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,j-pop,74,4577217
7qYYtUCPSVXspwRs4wiQ9R,Eltingvilles,,38,283
4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,christmas,58,178889
6nVMMEywS5Y4tsHPKx1nIo,TVXQ!,k-pop,51,862925
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,k-pop,77,13699929
0BqBNOQfrBTClJMq6n03Mf,Ron Bladworth,,42,413
2Ouy64LMwX0NN3yekUfTfo,New York Jazz Trio,christmas,37,8601
7gXUrN8vgmVhKVCkw9pavV,Vince Guaraldi,christmas,60,87175
6zkX5fhrSD4tdVOmimR9wB,Oscar Peterson,"jazz,cool jazz,bebop",55,316781
