artist_id,artist_name,genres,popularity,followers
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",68,2535683
68TCVp5t1Dxi2TvNuYoYK0,OHHYUK,k-ballad,46,134222
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,,61,1562643
0hEurMDQu99nJRq8pTxO14,John Mayer,singer-songwriter,75,6217659
2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,,45,246857
2SY6OktZyMLdOnscX3DCyS,JANNABI,"k-ballad,k-rock",53,781450
3wkl0GrYTJjWoTmGAJRosv,PARK BO GUM,k-ballad,42,89023
5TnQc2N1iKlFjYD7CPGvFc,DAY6,"k-rock,k-pop",65,3865496
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,,71,1868574
7gW0r5CkdEUMm42w9XpyZO,Laufey,,82,8434186
3VQDqjQ4wJyw8PzpGdlZpB,Colde,,57,695644
4BBN286rBKyCWsSPq2cxYO,Sam Kim,"k-ballad,k-pop",53,484893
5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,,44,74068
6WeDO4GynFmK4OxwkBzMW8,The Black Skirts,k-rock,55,577041
3M8UUCqb0mIEn5S2lO13yv,Forrest Nolan,bedroom pop,36,39491
3UHyuBA5qay3xcxFr3Z1Y9,Rachael & Vilray,vocal jazz,43,44438
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105469
7sS12h1hMwOqXiB5vYdlu8,TOY,k-ballad,23,28838
6jgrgDBt1SbtNbc25sLaTH,Busker Busker,k-ballad,41,113656
0ufoLkr55gheQNunOgkTae,Leina,j-pop,46,81845
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,,80,2178042
0pfVDTchnVMBTzGylIuJNa,Lee Juck,k-ballad,39,114746
2WJj57pxupP1MJCqbDNET4,Fishing in Japan,,22,8990
6zPbaYJp7itQ8p0gPLqf2S,Ra.D,k-ballad,31,30215
6aLdhHUqgdKE86xbtNmY8g,Crush,"k-rap,k-pop,k-ballad",60,1348744
1Y5vJqABeI6QI6R95EDV6o,tuki.,j-pop,59,518354
6rs1KAoQnFalSqSU4LTh8g,back number,"j-pop,j-rock",74,5871769
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,"anime,j-pop,j-rock",72,4767729
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,"j-pop,anime,j-rock",78,6262403
5kVZa4lFUmAQlBogl1fkd6,Aimyon,j-pop,68,5996116
2NKadilSWCwuqGp5QoDeUS,ZARD,"j-pop,kayokyoku",56,569101
3MZsBdqDrRTJihTHQrO6Dq,Joji,,80,10610878
62kwqoGbwQOLwfOWnDb2iB,Seo Young Eun,k-ballad,30,12221
7AVa6rcpTQWVqgy91llPP5,BROWN EYED SOUL,k-ballad,44,69276
0MBNzfGHTiPYag4DupDXUj,Sarah Kang,,53,193032
