played_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,track_uri
2025-10-23T17:57:42.275Z,2mlNgAeIBnL78ZriXgrRHz,Glimpse of Us,3MZsBdqDrRTJihTHQrO6Dq,Joji,39VuC5rYQHAnR6xQwm1WDk,SMITHEREENS,2022-11-04,233453,83,False,spotify:track:2mlNgAeIBnL78ZriXgrRHz
2025-10-23T17:43:20.880Z,2ZQ6YMcGxwyvAfV6dl8hkB,No One Knows (with Laufey),5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,6CczqhUdYOH4qLSDnN3zkg,Angel Face,2023-09-22,239308,65,False,spotify:track:2ZQ6YMcGxwyvAfV6dl8hkB
2025-10-23T17:05:45.373Z,1XrrNNZj3LVvFqvzpiArvm,가을이 오면,62kwqoGbwQOLwfOWnDb2iB,Seo Young Eun,1rZRGz3O5sjxjNpUKeQu7O,Romantic 1,2005-09-13,237688,30,False,spotify:track:1XrrNNZj3LVvFqvzpiArvm
2025-10-23T17:01:47.332Z,7kt0hSksRfaCy9km8y16hM,Night and Day,7AVa6rcpTQWVqgy91llPP5,BROWN EYED SOUL,2gynWgXZ5cqwvL0S0J4naU,Soul Tricycle,2025-09-23,269333,33,False,spotify:track:7kt0hSksRfaCy9km8y16hM
2025-10-23T16:56:10.297Z,5BqwC9kOBbqYkzdOKeXFFk,for lovers who hesitate,2SY6OktZyMLdOnscX3DCyS,JANNABI,28GiIRNu9nEugqnUci3aIC,LEGEND,2019-03-13,265000,60,False,spotify:track:5BqwC9kOBbqYkzdOKeXFFk
2025-10-23T16:50:39.504Z,6G0nCajRkylLOQdqHHGM4q,She's Going,5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,58rkE0Qk9qtnrU7RVjsJE0,"SingAgain3 - Battle of the Unknown, Ep.2 (From the JTBC TV Show)",2023-11-03,165538,31,False,spotify:track:6G0nCajRkylLOQdqHHGM4q
2025-10-23T16:47:51.390Z,0BhCK7Z9fg4cqu0q0gNtjT,now i know,0MBNzfGHTiPYag4DupDXUj,Sarah Kang,4o8vSRo2Ck3UqRYUk0Qzck,maybe i'm better now,2021-06-25,263851,44,False,spotify:track:0BhCK7Z9fg4cqu0q0gNtjT
2025-10-23T16:43:27.137Z,2sf18cEv463VgqmdjDsFpw,ベテルギウス,0ixzjrK1wkN2zWBXt3VW3W,Yuuri,25FWSs9iK7hQqyK2fdKvSV,ベテルギウス,2021-11-04,230393,59,False,spotify:track:2sf18cEv463VgqmdjDsFpw
2025-10-23T16:39:36.088Z,2ufbSqJHgI1JBo3LzUB6uM,(They Long To Be) Close To You,6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,7eMDQG5FhkN4IfI7rKasnT,Close To You (From A Hundred Memories),2025-09-14,235000,52,False,spotify:track:2ufbSqJHgI1JBo3LzUB6uM
2025-10-23T16:35:41.112Z,51Grh1RyUDcMBbpuyUIUHI,rises the moon,5zVu34ozw0BzXIcNHqkO0u,Liana Flores,295qW3R6DSM1WfePwUpgux,recently,2019-04-10,161929,81,False,spotify:track:51Grh1RyUDcMBbpuyUIUHI
