played_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,track_uri
2025-10-23T12:57:58.176Z,4Dvkj6JhhA12EX05fT7y2e,As It Was,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5r36AJ6VOJtp00oxSkBZ5h,Harry's House,2022-05-20,167303,87,False,spotify:track:4Dvkj6JhhA12EX05fT7y2e
2025-10-23T12:55:04.976Z,3L6NvwR3frgwTZth9z6ZQq,Fly By Day,0xGtOrmB2hnrNRLG3vhpSo,Anri,74XLaVRIeHY51nuXcC5RuS,Heaven Beach,1982-11-21,273866,52,False,spotify:track:3L6NvwR3frgwTZth9z6ZQq
2025-10-23T12:50:38.464Z,1gU4xVIzOdXrRJsvbfDWPm,シンプル・ラブ,7rGbODPTIVjzn3CTR6RCzE,Junko Ohashi,7xZbqNj6i60dJENaliMEOR,ゴールデン☆ベスト 大橋純子 シングルス,2003-01-01,225573,32,False,spotify:track:1gU4xVIzOdXrRJsvbfDWPm
2025-10-23T12:46:58.197Z,1EEs9vSRyfkQTqvmb8VNFI,モーニング・フライト,4rVB9YY0kKlV5iBATVGxQy,間宮貴子,5c3jWgs4SyWQPyqjKhgXrR,LOVE TRIP,1982-11-25,249320,38,False,spotify:track:1EEs9vSRyfkQTqvmb8VNFI
2025-10-23T12:42:37.260Z,7rU6Iebxzlvqy5t857bKFq,Plastic Love,3WwGRA2o4Ux1RRMYaYDh7N,Mariya Takeuchi,3lBX7AtzE4JoZaAIBLptRx,Expressions,2008-05-21,294493,65,False,spotify:track:7rU6Iebxzlvqy5t857bKFq
2025-10-23T12:35:58.741Z,5zLAnXSlkn6V1rCo6eKIoy,Stay Girl Stay Pure - 2021 Remix,0ECegKslGWO6zz3XzTyIwQ,1986 OMEGA TRIBE,5W76rZBAknsmSIkcjLtK3K,"35th Anniversary Album ""To Your Summertime Smile""",2021-02-24,263240,30,False,spotify:track:5zLAnXSlkn6V1rCo6eKIoy
2025-10-23T12:31:26.778Z,4O02HMxIxGLptYi4ngd0es,GATSBY WOMAN,2FdiOm1d5IVBdLlobhzlTF,Kingo Hamada,4KiV0b6zN4dDIXYBsvYVcw,BEST COLLECTION 〜MOON YEARS〜,2002-02-27,266760,42,False,spotify:track:4O02HMxIxGLptYi4ngd0es
2025-10-23T12:26:59.988Z,7Exa7vhvBOr1GHNuEA50zy,RIVER'S ISLAND,7bG2PIfT22HGxisl6LAohx,S. Kiyotaka & Omega Tribe,0UEB5zj5SfE3tdgP4wP2jC,RIVER'S ISLAND,1984-03-21,278097,42,False,spotify:track:7Exa7vhvBOr1GHNuEA50zy
2025-10-23T12:21:51.261Z,1i92UFFkxtKv4tYNzt1X1b,As It Was,31SBgHxc8eqZUk9MdveH42,PREP,58i1O2d95vxAnDhkySrVOU,As It Was,2022-08-26,226798,57,False,spotify:track:1i92UFFkxtKv4tYNzt1X1b
2025-10-23T12:12:06.085Z,5f7UJCMrA1VRLvbPrq1h0G,Put On A Smile,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,1YgekJJTEueWDaMr7BYqPk,An Evening With Silk Sonic,2021-11-11,255455,58,False,spotify:track:5f7UJCMrA1VRLvbPrq1h0G
2025-10-23T12:07:49.731Z,5SgeKIyWWLz8iqE5O0XbZm,Dancing Tonight,1TnNKsMdzxwBiHkde10tPX,Yurie Kokubu,6Flte85iZhB31faD8mWRl5,Relief 72 hours,2013-07-24,190920,36,False,spotify:track:5SgeKIyWWLz8iqE5O0XbZm
2025-10-23T12:04:38.413Z,5SxrdeIHki6FmlsKj2m8mY,テレフォン・ナンバー,7rGbODPTIVjzn3CTR6RCzE,Junko Ohashi,4xP3ejIHNS3OPGHfSIrevD,TOKYO - CITY POP -,2021-06-01,239573,42,False,spotify:track:5SxrdeIHki6FmlsKj2m8mY
2025-10-23T12:00:41.164Z,7KYzARBusZhyZ6jygZDmVr,SHYNESS BOY,0xGtOrmB2hnrNRLG3vhpSo,Anri,3OvZYx7AAGplmJjwD29JiV,Timely!!,1983-12-05,196666,60,False,spotify:track:7KYzARBusZhyZ6jygZDmVr
