artist_id,artist_name,genres,popularity,followers
0cmSXx965Hnm6fP42oW6vY,Origami Angel,"midwest emo,math rock,indie punk,emo",49,145891
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,66,3160200
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,"anime,j-pop,j-rock",72,4774570
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,"j-pop,anime,j-rock",78,6277637
6jgrgDBt1SbtNbc25sLaTH,Busker Busker,k-ballad,41,114011
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,,90,118628944
2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,,45,247005
6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,k-ballad,57,783524
5zVu34ozw0BzXIcNHqkO0u,Liana Flores,,64,682126
6aLdhHUqgdKE86xbtNmY8g,Crush,"k-rap,k-pop,k-ballad",60,1349204
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105563
2SY6OktZyMLdOnscX3DCyS,JANNABI,"k-ballad,k-rock",54,783008
2WJj57pxupP1MJCqbDNET4,Fishing in Japan,,22,9001
5z8B2oTjiZbpbMB6rAfPGl,Heo Hoy Kyung,k-ballad,44,80427
75OSuJw6r1LCdYgmTt0gHs,Micah Edwards,retro soul,45,51225
0MBNzfGHTiPYag4DupDXUj,Sarah Kang,,53,193260
0pfVDTchnVMBTzGylIuJNa,Lee Juck,k-ballad,39,114990
5FxVAiCRSETyMMPV8MDaHY,Lorez Alexandria,"vocal jazz,jazz",41,15435
62kwqoGbwQOLwfOWnDb2iB,Seo Young Eun,k-ballad,30,12255
7jFUYMpMUBDL4JQtMZ5ilc,Sung Si Kyung,k-ballad,51,397030
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,,61,1563214
7j46Sze6UWb7p41IqcYFAp,Catherine Russell,"vocal jazz,swing music,jazz",47,39100
7AVa6rcpTQWVqgy91llPP5,BROWN EYED SOUL,k-ballad,43,69421
7gW0r5CkdEUMm42w9XpyZO,Laufey,,82,8467304
